PFAM	GCount	GProp	Icount	Iprop	Enrichment
MACPF	122	9.61E-06	2	1.836836004	0.200497352
ABC_tran_2	29	2.28E-06	1	3.863689525	0.201364701
DUF2098	29	2.28E-06	1	3.863689525	0.201364701
DUF2114	29	2.28E-06	1	3.863689525	0.201364701
MtrE	29	2.28E-06	1	3.863689525	0.201364701
Tn916-Xis	29	2.28E-06	1	3.863689525	0.201364701
NADH_4Fe-4S	123	9.69E-06	2	1.821902377	0.201992391
LRR_4	254	2.00E-05	3	1.323389719	0.202191764
XPG_I	124	9.77E-06	2	1.807209616	0.203471456
CS	257	2.02E-05	3	1.30794159	0.203911546
DUF2070	125	9.85E-06	2	1.792751939	0.204934475
DUF2199	125	9.85E-06	2	1.792751939	0.204934475
DUF2335	125	9.85E-06	2	1.792751939	0.204934475
Pyr_redox_dim	125	9.85E-06	2	1.792751939	0.204934475
DUF1461	261	2.06E-05	3	1.287896508	0.206095568
DUF137	126	9.92E-06	2	1.778523749	0.206381379
DUF2441	30	2.36E-06	1	3.734899874	0.206449208
DUF2693	30	2.36E-06	1	3.734899874	0.206449208
DUF2292	264	2.08E-05	3	1.273261321	0.207651876
zf-FPG_IleRS	127	1.00E-05	2	1.764519625	0.207812107
ComK	128	1.01E-05	2	1.750734316	0.2092266
DUF2743	128	1.01E-05	2	1.750734316	0.2092266
DUF2869	128	1.01E-05	2	1.750734316	0.2092266
PvlArgDC	269	2.12E-05	3	1.249594753	0.210090455
Sugar_transport	270	2.13E-05	3	1.244966625	0.210554944
DUF268	31	2.44E-06	1	3.614419233	0.21142692
FKBP_N	31	2.44E-06	1	3.614419233	0.21142692
HTH_Tnp_Mu_2	31	2.44E-06	1	3.614419233	0.21142692
IstB_IS21_ATP	31	2.44E-06	1	3.614419233	0.21142692
TypeIII_RM_meth	31	2.44E-06	1	3.614419233	0.21142692
DUF2530	272	2.14E-05	3	1.235812458	0.211460765
PA_decarbox	272	2.14E-05	3	1.235812458	0.211460765
Ribosomal_L37ae	130	1.02E-05	2	1.723799942	0.212006669
ATP-gua_Ptrans	276	2.17E-05	3	1.217902133	0.213180091
DUF3578	131	1.03E-05	2	1.710641164	0.213372151
SicP-binding	132	1.04E-05	2	1.697681761	0.214721207
PA14	280	2.21E-05	3	1.200503531	0.214777012
RNA_ligase	281	2.21E-05	3	1.196231276	0.215157226
DUF970	283	2.23E-05	3	1.187777345	0.215894944
UvdE	283	2.23E-05	3	1.187777345	0.215894944
DUF1100	32	2.52E-06	1	3.501468632	0.216299338
HTH_13	32	2.52E-06	1	3.501468632	0.216299338
MtrC	32	2.52E-06	1	3.501468632	0.216299338
RE_LlaJI	32	2.52E-06	1	3.501468632	0.216299338
TIMP	32	2.52E-06	1	3.501468632	0.216299338
DUF2284	286	2.25E-05	3	1.175318142	0.216945018
DUF2103	134	1.06E-05	2	1.672343227	0.217369898
Avidin	135	1.06E-05	2	1.659955499	0.218669471
DUF2938	295	2.32E-05	3	1.139460978	0.219693353
CTP-dep_RFKase	136	1.07E-05	2	1.647749944	0.219952493
IcmL	297	2.34E-05	3	1.131787841	0.220223341
STT3	299	2.36E-05	3	1.124217353	0.220724372
DUF1464	33	2.60E-06	1	3.395363522	0.221067944
Peptidase_C70	33	2.60E-06	1	3.395363522	0.221067944
TTL	33	2.60E-06	1	3.395363522	0.221067944
zf-FCS	33	2.60E-06	1	3.395363522	0.221067944
AgrB	301	2.37E-05	3	1.116747471	0.221196649
DUF2944	301	2.37E-05	3	1.116747471	0.221196649
DUF511	137	1.08E-05	2	1.635722572	0.221218943
DUF2200	304	2.39E-05	3	1.105726936	0.221851609
Ribosomal_L37e	138	1.09E-05	2	1.62386951	0.222468801
Adenosine_kin	309	2.43E-05	3	1.087834915	0.222802486
HTH_AraC	311	2.45E-05	3	1.080839192	0.223134248
Phytase	313	2.47E-05	3	1.073932871	0.2234386
PTH2	314	2.47E-05	3	1.070512703	0.223580573
DUF3418	139	1.09E-05	2	1.612186996	0.223702054
Glyco_hydro_67C	319	2.51E-05	3	1.053733507	0.224189654
DUF2891	322	2.54E-05	3	1.043916114	0.224475626
RgpF	322	2.54E-05	3	1.043916114	0.224475626
DUF2459	330	2.60E-05	3	1.018609056	0.224954556
MCR_gamma	34	2.68E-06	1	3.295499889	0.225734205
NgoMIV_restric	34	2.68E-06	1	3.295499889	0.225734205
Rep_fac-A_C	34	2.68E-06	1	3.295499889	0.225734205
Sld5	34	2.68E-06	1	3.295499889	0.225734205
Coq4	142	1.12E-05	2	1.578126707	0.227302081
PCNA_C	142	1.12E-05	2	1.578126707	0.227302081
DUF217	144	1.13E-05	2	1.556208281	0.229618951
CBM49	35	2.76E-06	1	3.201342749	0.230299566
Hemopexin	35	2.76E-06	1	3.201342749	0.230299566
LdpA_C	35	2.76E-06	1	3.201342749	0.230299566
MCR_alpha	35	2.76E-06	1	3.201342749	0.230299566
MCR_beta	35	2.76E-06	1	3.201342749	0.230299566
NADHdeh_related	148	1.17E-05	2	1.514148597	0.234053281
DUF1917	36	2.84E-06	1	3.112416561	0.234765458
DUF2082	149	1.17E-05	2	1.503986526	0.235120387
DUF555	150	1.18E-05	2	1.49395995	0.236170937
DUF650	150	1.18E-05	2	1.49395995	0.236170937
DOT1	151	1.19E-05	2	1.484066175	0.237204952
PixA	151	1.19E-05	2	1.484066175	0.237204952
DUF473	37	2.91E-06	1	3.028297195	0.239133291
DUF726	37	2.91E-06	1	3.028297195	0.239133291
Ribosomal_L34e	37	2.91E-06	1	3.028297195	0.239133291
DUF2949	155	1.22E-05	2	1.445767693	0.241176196
CamS	156	1.23E-05	2	1.436499951	0.242127957
DUF3494	156	1.23E-05	2	1.436499951	0.242127957
DUF2539	38	2.99E-06	1	2.948605164	0.243404461
DUF2772	38	2.99E-06	1	2.948605164	0.243404461
MCR_D	38	2.99E-06	1	2.948605164	0.243404461
TFIIS_C	38	2.99E-06	1	2.948605164	0.243404461
CO_dh	158	1.24E-05	2	1.418316408	0.243982466
DUF3793	158	1.24E-05	2	1.418316408	0.243982466
Peptidase_S9_N	39	3.07E-06	1	2.872999903	0.247580345
MerB	163	1.28E-05	2	1.374809769	0.248334798
TP6A_N	163	1.28E-05	2	1.374809769	0.248334798
DUF2310	164	1.29E-05	2	1.366426783	0.249156963
DUF1743	165	1.30E-05	2	1.358145409	0.249963148
DUF811	167	1.32E-05	2	1.341880194	0.251527794
YopJ	167	1.32E-05	2	1.341880194	0.251527794
DUF1878	40	3.15E-06	1	2.801174905	0.251662304
DUF2777	40	3.15E-06	1	2.801174905	0.251662304
Endotoxin_N	40	3.15E-06	1	2.801174905	0.251662304
GerPC	40	3.15E-06	1	2.801174905	0.251662304
PMT_C	40	3.15E-06	1	2.801174905	0.251662304
zf-AN1	40	3.15E-06	1	2.801174905	0.251662304
EpuA	169	1.33E-05	2	1.325999955	0.253029198
eIF-5_eIF-2B	169	1.33E-05	2	1.325999955	0.253029198
ALF	170	1.34E-05	2	1.318199955	0.253756335
DUF1543	170	1.34E-05	2	1.318199955	0.253756335
Ectoine_synth	170	1.34E-05	2	1.318199955	0.253756335
Gp37	171	1.35E-05	2	1.310491184	0.254467845
Choline_kinase	41	3.23E-06	1	2.732853566	0.255651681
DUF1521	41	3.23E-06	1	2.732853566	0.255651681
DUF1523	173	1.36E-05	2	1.295340997	0.255844248
DUF1657	173	1.36E-05	2	1.295340997	0.255844248
Pyr_excise	174	1.37E-05	2	1.287896508	0.256509274
MucBP	176	1.39E-05	2	1.273261321	0.257793321
DUF2969	177	1.39E-05	2	1.266067754	0.258412484
P_gingi_FimA	177	1.39E-05	2	1.266067754	0.258412484
DUF616	42	3.31E-06	1	2.667785624	0.259549804
PSI_8	42	3.31E-06	1	2.667785624	0.259549804
UBA	42	3.31E-06	1	2.667785624	0.259549804
RIP	181	1.43E-05	2	1.238088356	0.260738451
DUF3127	182	1.43E-05	2	1.231285673	0.261282652
Ferritin-like	182	1.43E-05	2	1.231285673	0.261282652
Glyco_transf_10	182	1.43E-05	2	1.231285673	0.261282652
DUF2508	183	1.44E-05	2	1.224557336	0.261812091
DUF373	183	1.44E-05	2	1.224557336	0.261812091
DUF2730	185	1.46E-05	2	1.211318878	0.262827009
DUF2929	185	1.46E-05	2	1.211318878	0.262827009
CVNH	43	3.39E-06	1	2.605744098	0.263357985
Endonuc_Holl	43	3.39E-06	1	2.605744098	0.263357985
OTCace_N	43	3.39E-06	1	2.605744098	0.263357985
RE_AlwI	43	3.39E-06	1	2.605744098	0.263357985
GIDE	189	1.49E-05	2	1.1856825	0.264683293
MGDG_synth	191	1.50E-05	2	1.173266976	0.265526004
DUF43	192	1.51E-05	2	1.167156211	0.265926303
DUF3047	195	1.54E-05	2	1.149199961	0.267044022
DUF1230	44	3.47E-06	1	2.546522641	0.267077517
PSII_Ycf12	44	3.47E-06	1	2.546522641	0.267077517
tRNA-synt_2d	197	1.55E-05	2	1.137532956	0.267720748
DUF3006	199	1.57E-05	2	1.126100464	0.26834358
UPF0158	200	1.58E-05	2	1.120469962	0.268635015
zf-CHY	201	1.58E-05	2	1.114895485	0.268913252
DUF2204	202	1.59E-05	2	1.1093762	0.269178385
DUF3427	203	1.60E-05	2	1.103911293	0.269430507
DDE_Tnp_2	207	1.63E-05	2	1.082579674	0.270310763
DUF1614	207	1.63E-05	2	1.082579674	0.270310763
DUF2771	208	1.64E-05	2	1.077374964	0.270499244
FTCD	208	1.64E-05	2	1.077374964	0.270499244
DUF3335	45	3.54E-06	1	2.489933249	0.27070968
DUF3769	45	3.54E-06	1	2.489933249	0.27070968
DUF981	45	3.54E-06	1	2.489933249	0.27070968
Astacin	210	1.65E-05	2	1.06711425	0.270838974
UDPGP	210	1.65E-05	2	1.06711425	0.270838974
PHZA_PHZB	211	1.66E-05	2	1.062056836	0.270990416
DUF2785	215	1.69E-05	2	1.042297639	0.27147561
IDEAL	218	1.72E-05	2	1.027954094	0.271715623
Cohesin	219	1.72E-05	2	1.023260239	0.271772551
DUF2140	220	1.73E-05	2	1.018609056	0.271818102
DUF2272	222	1.75E-05	2	1.009432398	0.27187547
DUF92	222	1.75E-05	2	1.009432398	0.27187547
DUF664	224	1.76E-05	2	1.000419609	0.27188851
DUF930	224	1.76E-05	2	1.000419609	0.27188851
Gly_rich	46	3.62E-06	1	2.435804266	0.274255737
PPO1_DWL	46	3.62E-06	1	2.435804266	0.274255737
S6PP	46	3.62E-06	1	2.435804266	0.274255737
TipAS	46	3.62E-06	1	2.435804266	0.274255737
Exostosin	47	3.70E-06	1	2.383978643	0.277716935
PQQ_N	47	3.70E-06	1	2.383978643	0.277716935
NNMT_PNMT_TEMT	48	3.78E-06	1	2.334312421	0.281094508
DUF1541	49	3.86E-06	1	2.286673392	0.284389672
DUF2555	49	3.86E-06	1	2.286673392	0.284389672
DUF2996	49	3.86E-06	1	2.286673392	0.284389672
DUF3110	49	3.86E-06	1	2.286673392	0.284389672
DUF3146	49	3.86E-06	1	2.286673392	0.284389672
DUF3353	49	3.86E-06	1	2.286673392	0.284389672
DUF3531	49	3.86E-06	1	2.286673392	0.284389672
MSP	49	3.86E-06	1	2.286673392	0.284389672
NdhN	49	3.86E-06	1	2.286673392	0.284389672
PetG	49	3.86E-06	1	2.286673392	0.284389672
PsbI	49	3.86E-06	1	2.286673392	0.284389672
PsbK	49	3.86E-06	1	2.286673392	0.284389672
PsbX	49	3.86E-06	1	2.286673392	0.284389672
DUF2116	50	3.94E-06	1	2.240939924	0.287603629
Lip_prot_lig_C	50	3.94E-06	1	2.240939924	0.287603629
DUF1995	51	4.02E-06	1	2.196999926	0.290737565
DUF3177	51	4.02E-06	1	2.196999926	0.290737565
DUF565	51	4.02E-06	1	2.196999926	0.290737565
PsbH	51	4.02E-06	1	2.196999926	0.290737565
PsbN	52	4.10E-06	1	2.154749927	0.293792654
PsbT	52	4.10E-06	1	2.154749927	0.293792654
ADP_PFK_GK	53	4.17E-06	1	2.114094268	0.296770053
DUF2769	53	4.17E-06	1	2.114094268	0.296770053
DUF3539	53	4.17E-06	1	2.114094268	0.296770053
DUF2471	54	4.25E-06	1	2.074944374	0.299670905
DUF3055	54	4.25E-06	1	2.074944374	0.299670905
Lectin_legB	54	4.25E-06	1	2.074944374	0.299670905
RNA_pol_Rpb1_3	54	4.25E-06	1	2.074944374	0.299670905
DUF3843	55	4.33E-06	1	2.037218113	0.30249634
FcoT	55	4.33E-06	1	2.037218113	0.30249634
DUF166	57	4.49E-06	1	1.965736776	0.307925404
DUF2839	57	4.49E-06	1	1.965736776	0.307925404
Glyco_hydro_65N	57	4.49E-06	1	1.965736776	0.307925404
Rad50_zn_hook	57	4.49E-06	1	1.965736776	0.307925404
Cu2_monooxygen	58	4.57E-06	1	1.931844762	0.310531222
DUF2964	58	4.57E-06	1	1.931844762	0.310531222
DUF3612	58	4.57E-06	1	1.931844762	0.310531222
Dehyd-heme_bind	58	4.57E-06	1	1.931844762	0.310531222
PsaL	58	4.57E-06	1	1.931844762	0.310531222
RE_HpaII	58	4.57E-06	1	1.931844762	0.310531222
DUF1612	59	4.65E-06	1	1.899101631	0.313066
Gal-3-0_sulfotr	59	4.65E-06	1	1.899101631	0.313066
RNA_lig_T4_1	59	4.65E-06	1	1.899101631	0.313066
XhoI	59	4.65E-06	1	1.899101631	0.313066
DpnII	60	4.73E-06	1	1.867449937	0.315530798
GPDPase_memb	60	4.73E-06	1	1.867449937	0.315530798
Lact_bio_phlase	60	4.73E-06	1	1.867449937	0.315530798
QH-AmDH_gamma	60	4.73E-06	1	1.867449937	0.315530798
DUF2757	61	4.80E-06	1	1.836836004	0.317926665
DUF3336	61	4.80E-06	1	1.836836004	0.317926665
DUF1662	62	4.88E-06	1	1.807209616	0.320254633
Glyco_hydro_67N	62	4.88E-06	1	1.807209616	0.320254633
Collagen_bind	63	4.96E-06	1	1.778523749	0.322515725
DUF1822	63	4.96E-06	1	1.778523749	0.322515725
Porin_OmpG	63	4.96E-06	1	1.778523749	0.322515725
zf-ZPR1	63	4.96E-06	1	1.778523749	0.322515725
Cu2_monoox_C	64	5.04E-06	1	1.750734316	0.324710947
DUF2602	64	5.04E-06	1	1.750734316	0.324710947
PSI_PsaE	64	5.04E-06	1	1.750734316	0.324710947
DUF1404	65	5.12E-06	1	1.723799942	0.326841297
DUF227	65	5.12E-06	1	1.723799942	0.326841297
Arm	66	5.20E-06	1	1.697681761	0.328907757
UPAR_LY6	66	5.20E-06	1	1.697681761	0.328907757
C5-epim_C	67	5.28E-06	1	1.672343227	0.330911298
DRP	68	5.36E-06	1	1.647749944	0.332852877
RecO_N	68	5.36E-06	1	1.647749944	0.332852877
CemA	69	5.43E-06	1	1.62386951	0.334733443
DUF1254	69	5.43E-06	1	1.62386951	0.334733443
YmaF	70	5.51E-06	1	1.600671374	0.336553928
DUF3386	71	5.59E-06	1	1.578126707	0.338315257
FbpA	71	5.59E-06	1	1.578126707	0.338315257
Kazal_2	72	5.67E-06	1	1.556208281	0.340018338
AFOR_N	73	5.75E-06	1	1.534890359	0.341664073
DUF1608	73	5.75E-06	1	1.534890359	0.341664073
DUF3331	74	5.83E-06	1	1.514148597	0.343253348
OppC_N	74	5.83E-06	1	1.514148597	0.343253348
DUF2811	75	5.91E-06	1	1.49395995	0.344787042
NAS	75	5.91E-06	1	1.49395995	0.344787042
ATP_transf	76	5.99E-06	1	1.474302582	0.346266018
RNA_pol_L	76	5.99E-06	1	1.474302582	0.346266018
Rep_1	76	5.99E-06	1	1.474302582	0.346266018
DUF1462	77	6.07E-06	1	1.455155795	0.347691132
Fcf1	77	6.07E-06	1	1.455155795	0.347691132
B5	78	6.14E-06	1	1.436499951	0.349063227
BAAT_C	78	6.14E-06	1	1.436499951	0.349063227
Methyltransf_14	78	6.14E-06	1	1.436499951	0.349063227
Ycf66_N	78	6.14E-06	1	1.436499951	0.349063227
Sigma70_r3	79	6.22E-06	1	1.418316408	0.350383136
DUF3747	80	6.30E-06	1	1.400587453	0.351651682
DUF2484	81	6.38E-06	1	1.38329625	0.352869675
Glyco_hydro_81	81	6.38E-06	1	1.38329625	0.352869675
UPF0122	81	6.38E-06	1	1.38329625	0.352869675
BSP	82	6.46E-06	1	1.366426783	0.354037918
Cytotoxic	82	6.46E-06	1	1.366426783	0.354037918
DUF3622	82	6.46E-06	1	1.366426783	0.354037918
Miro	82	6.46E-06	1	1.366426783	0.354037918
UPF0146	82	6.46E-06	1	1.366426783	0.354037918
DUF1119	83	6.54E-06	1	1.34996381	0.355157201
PSI_PSAK	83	6.54E-06	1	1.34996381	0.355157201
PaO	84	6.62E-06	1	1.333892812	0.356228305
LACT	85	6.70E-06	1	1.318199955	0.357252001
Alba	87	6.85E-06	1	1.287896508	0.359160202
DUF1542	87	6.85E-06	1	1.287896508	0.359160202
DUF3806	87	6.85E-06	1	1.287896508	0.359160202
AnfG_VnfG	88	6.93E-06	1	1.273261321	0.3600462
HTHP	88	6.93E-06	1	1.273261321	0.3600462
YugN	88	6.93E-06	1	1.273261321	0.3600462
AATase	89	7.01E-06	1	1.258955014	0.360887775
DspF	89	7.01E-06	1	1.258955014	0.360887775
RNA_pol_Rpb2_4	89	7.01E-06	1	1.258955014	0.360887775
Ykof	89	7.01E-06	1	1.258955014	0.360887775
DUF504	91	7.17E-06	1	1.231285673	0.362440536
Mac	91	7.17E-06	1	1.231285673	0.362440536
DUF3084	92	7.25E-06	1	1.217902133	0.36315314
DUF3169	92	7.25E-06	1	1.217902133	0.36315314
ClpB_D2-small	94	7.40E-06	1	1.191989321	0.364454264
DUF3135	94	7.40E-06	1	1.191989321	0.364454264
HasA	97	7.64E-06	1	1.155123672	0.366105896
PCP_red	98	7.72E-06	1	1.143336696	0.366579072
DUF3370	99	7.80E-06	1	1.131787841	0.367014639
DUF3693	99	7.80E-06	1	1.131787841	0.367014639
MDH	99	7.80E-06	1	1.131787841	0.367014639
TOBE_2	99	7.80E-06	1	1.131787841	0.367014639
DUF2259	101	7.96E-06	1	1.1093762	0.367775478
DUF3836	101	7.96E-06	1	1.1093762	0.367775478
PolC_DP2	101	7.96E-06	1	1.1093762	0.367775478
ComC	102	8.03E-06	1	1.098499963	0.368101992
DUF2960	102	8.03E-06	1	1.098499963	0.368101992
JmjC	102	8.03E-06	1	1.098499963	0.368101992
PTPS_related	103	8.11E-06	1	1.087834915	0.368393383
CpeT	104	8.19E-06	1	1.077374964	0.368650252
DUF2764	105	8.27E-06	1	1.06711425	0.368873192
DUF46	105	8.27E-06	1	1.06711425	0.368873192
DUF2652	106	8.35E-06	1	1.057047134	0.369062789
DUF3111	106	8.35E-06	1	1.057047134	0.369062789
PSDC	106	8.35E-06	1	1.057047134	0.369062789
DUF1257	107	8.43E-06	1	1.047168189	0.36921962
DUF458	107	8.43E-06	1	1.047168189	0.36921962
DUF460	107	8.43E-06	1	1.047168189	0.36921962
Ribosomal_S27	107	8.43E-06	1	1.047168189	0.36921962
AlaDh_PNT_N	108	8.51E-06	1	1.037472187	0.369344255
DUF3784	109	8.59E-06	1	1.027954094	0.369437255
DUF3788	109	8.59E-06	1	1.027954094	0.369437255
XFP_C	109	8.59E-06	1	1.027954094	0.369437255
Peptidase_A4	110	8.66E-06	1	1.018609056	0.369499176
DUF1997	111	8.74E-06	1	1.009432398	0.369530564
DUF3553	113	8.90E-06	1	0.991566338	0.369503898
UPF0160	113	8.90E-06	1	0.991566338	0.369503898
Cas_TM1802	114	8.98E-06	1	0.982868388	0.369446902
DUF424	114	8.98E-06	1	0.982868388	0.369446902
Glycogen_syn	114	8.98E-06	1	0.982868388	0.369446902
DUF3466	115	9.06E-06	1	0.974321706	0.369361491
DUF371	115	9.06E-06	1	0.974321706	0.369361491
SRP19	115	9.06E-06	1	0.974321706	0.369361491
DUF294_C	116	9.14E-06	1	0.965922381	0.369248177
NIL	116	9.14E-06	1	0.965922381	0.369248177
DUF2251	117	9.22E-06	1	0.957666634	0.369107465
Cellsynth_D	118	9.29E-06	1	0.949550815	0.368939853
CBM_11	120	9.45E-06	1	0.933724968	0.368525886
PrmA	120	9.45E-06	1	0.933724968	0.368525886
Rpr2	122	9.61E-06	1	0.918418002	0.36801013
DUF359	123	9.69E-06	1	0.910951189	0.367715255
RNA_pol_Rpb7_N	123	9.69E-06	1	0.910951189	0.367715255
Ribosomal_S13_N	123	9.69E-06	1	0.910951189	0.367715255
Ribosomal_S17e	123	9.69E-06	1	0.910951189	0.367715255
Ribosomal_S24e	123	9.69E-06	1	0.910951189	0.367715255
Ribosomal_S3Ae	123	9.69E-06	1	0.910951189	0.367715255
Ribosomal_S6e	123	9.69E-06	1	0.910951189	0.367715255
Spt4	123	9.69E-06	1	0.910951189	0.367715255
eIF2_C	123	9.69E-06	1	0.910951189	0.367715255
tRNA_deacylase	124	9.77E-06	1	0.903604808	0.367396331
DUF2316	126	9.92E-06	1	0.889261875	0.366688139
AnfO_nitrog	127	1.00E-05	1	0.882259813	0.366299757
Glyco_hydro_3_C	127	1.00E-05	1	0.882259813	0.366299757
DUF1834	128	1.01E-05	1	0.875367158	0.3658891
DUF452	128	1.01E-05	1	0.875367158	0.3658891
DUF1804	129	1.02E-05	1	0.868581366	0.365456596
START	129	1.02E-05	1	0.868581366	0.365456596
DUF2507	130	1.02E-05	1	0.861899971	0.365002668
GRDB	130	1.02E-05	1	0.861899971	0.365002668
zf-C2H2	130	1.02E-05	1	0.861899971	0.365002668
LRV_FeS	132	1.04E-05	1	0.84884088	0.3640322
TPP_enzyme_M	132	1.04E-05	1	0.84884088	0.3640322
BsuPI	133	1.05E-05	1	0.842458618	0.363516477
CDKN3	134	1.06E-05	1	0.836171614	0.362980964
DUF2735	134	1.06E-05	1	0.836171614	0.362980964
TIM-br_sig_trns	135	1.06E-05	1	0.82997775	0.362426053
DUF3290	136	1.07E-05	1	0.823874972	0.361852135
PaaX_C	136	1.07E-05	1	0.823874972	0.361852135
Arch_fla_DE	137	1.08E-05	1	0.817861286	0.361259593
DUF1177	137	1.08E-05	1	0.817861286	0.361259593
DUF1187	138	1.09E-05	1	0.811934755	0.360648805
DUF3332	139	1.09E-05	1	0.806093498	0.360020143
DUF928	139	1.09E-05	1	0.806093498	0.360020143
GFO_IDH_MocA_C	139	1.09E-05	1	0.806093498	0.360020143
Secretin_N	139	1.09E-05	1	0.806093498	0.360020143
DUF2680	140	1.10E-05	1	0.800335687	0.359373976
SDH_beta	140	1.10E-05	1	0.800335687	0.359373976
UreE_N	141	1.11E-05	1	0.794659548	0.358710666
DUF2389	143	1.13E-05	1	0.783545428	0.357334041
CotJA	144	1.13E-05	1	0.77810414	0.356621427
Glyco_hydro_38	146	1.15E-05	1	0.76744518	0.355149307
Pyocin_S	146	1.15E-05	1	0.76744518	0.355149307
tRNA_int_endo	146	1.15E-05	1	0.76744518	0.355149307
DUF3010	147	1.16E-05	1	0.762224464	0.354390472
SLT_beta	147	1.16E-05	1	0.762224464	0.354390472
CpeS	148	1.17E-05	1	0.757074299	0.353616893
DUF310	148	1.17E-05	1	0.757074299	0.353616893
DUF3153	148	1.17E-05	1	0.757074299	0.353616893
NMD3	148	1.17E-05	1	0.757074299	0.353616893
PHB_acc_N	148	1.17E-05	1	0.757074299	0.353616893
Spore_YunB	148	1.17E-05	1	0.757074299	0.353616893
HTH_Mga	149	1.17E-05	1	0.751993263	0.352828894
XisH	150	1.18E-05	1	0.746979975	0.352026793
zf-like	150	1.18E-05	1	0.746979975	0.352026793
GlcNAc	151	1.19E-05	1	0.742033088	0.351210906
Me-amine-dh_H	151	1.19E-05	1	0.742033088	0.351210906
Me-amine-dh_L	151	1.19E-05	1	0.742033088	0.351210906
Saccharop_dh_N	152	1.20E-05	1	0.737151291	0.350381542
Rad51	153	1.21E-05	1	0.732333309	0.349539006
CotJB	154	1.21E-05	1	0.727577897	0.3486836
Lipoprotein_5	154	1.21E-05	1	0.727577897	0.3486836
AmoC	156	1.23E-05	1	0.718249976	0.346935361
Peptidase_U57	156	1.23E-05	1	0.718249976	0.346935361
DUF2092	157	1.24E-05	1	0.713675135	0.346043109
SpoIIID	157	1.24E-05	1	0.713675135	0.346043109
DUF3757	158	1.24E-05	1	0.709158204	0.345139148
GMC_oxred_N	159	1.25E-05	1	0.704698089	0.344223759
DUF3359	160	1.26E-05	1	0.700293726	0.343297218
Phytochelatin	160	1.26E-05	1	0.700293726	0.343297218
MethylPyrKinase	161	1.27E-05	1	0.695944076	0.342359797
DUF3144	163	1.28E-05	1	0.687404885	0.340453382
Gmad1	163	1.28E-05	1	0.687404885	0.340453382
Coatomer_E	165	1.30E-05	1	0.679072704	0.338506611
DUF3274	165	1.30E-05	1	0.679072704	0.338506611
DUF1652	166	1.31E-05	1	0.674981905	0.337518731
DUF3334	166	1.31E-05	1	0.674981905	0.337518731
GPI-anchored	166	1.31E-05	1	0.674981905	0.337518731
oligo_HPY	166	1.31E-05	1	0.674981905	0.337518731
DUF3109	170	1.34E-05	1	0.659099978	0.333476345
DUF600	170	1.34E-05	1	0.659099978	0.333476345
rRNA_methylase	170	1.34E-05	1	0.659099978	0.333476345
DUF2855	171	1.35E-05	1	0.655245592	0.332444231
DUF2161	172	1.35E-05	1	0.651436024	0.331403978
DUF3179	172	1.35E-05	1	0.651436024	0.331403978
DUF3185	172	1.35E-05	1	0.651436024	0.331403978
Arylesterase	173	1.36E-05	1	0.647670498	0.330355812
DUF1450	174	1.37E-05	1	0.643948254	0.329299958
DUF3705	174	1.37E-05	1	0.643948254	0.329299958
DUF1851	175	1.38E-05	1	0.64026855	0.328236637
Spore_II_R	176	1.39E-05	1	0.63663066	0.327166065
Spore_YabQ	177	1.39E-05	1	0.633033877	0.326088458
DUF2953	180	1.42E-05	1	0.622483312	0.322815513
DUF3623	180	1.42E-05	1	0.622483312	0.322815513
DUF3866	180	1.42E-05	1	0.622483312	0.322815513
Zn_dep_PLPC	180	1.42E-05	1	0.622483312	0.322815513
DUF1924	181	1.43E-05	1	0.619044178	0.321711838
DUF2568	181	1.43E-05	1	0.619044178	0.321711838
DUF1847	182	1.43E-05	1	0.615642836	0.320602151
DUF3011	182	1.43E-05	1	0.615642836	0.320602151
DUF3830	182	1.43E-05	1	0.615642836	0.320602151
DUF1054	184	1.45E-05	1	0.608951066	0.318365513
Peptidase_C11	184	1.45E-05	1	0.608951066	0.318365513
DUF1579	185	1.46E-05	1	0.605659439	0.317238945
Surf_Ag_VNR	186	1.47E-05	1	0.602403205	0.316107127
CBM_20	191	1.50E-05	1	0.586633488	0.310375606
DUF2887	191	1.50E-05	1	0.586633488	0.310375606
Peptidase_M49	191	1.50E-05	1	0.586633488	0.310375606
DRAT	192	1.51E-05	1	0.583578105	0.30921604
DUF3034	192	1.51E-05	1	0.583578105	0.30921604
Lin0512_fam	195	1.54E-05	1	0.574599981	0.305713849
Pro-kuma_activ	195	1.54E-05	1	0.574599981	0.305713849
SBBP	197	1.55E-05	1	0.568766478	0.303361087
ChAPs	199	1.57E-05	1	0.563050232	0.300995403
GTP_CH_N	199	1.57E-05	1	0.563050232	0.300995403
ComA	200	1.58E-05	1	0.560234981	0.299808094
Methyltrans_SAM	200	1.58E-05	1	0.560234981	0.299808094
DUF369	201	1.58E-05	1	0.557447742	0.298618002
DUF2255	202	1.59E-05	1	0.5546881	0.297425271
DUF2399	205	1.61E-05	1	0.546570713	0.293832659
DUF596	206	1.62E-05	1	0.543917457	0.292630772
Oxidored-like	208	1.64E-05	1	0.538687482	0.290221274
DUF1444	209	1.65E-05	1	0.53611003	0.289013922
Fimbrial_CS1	209	1.65E-05	1	0.53611003	0.289013922
DUF1570	210	1.65E-05	1	0.533557125	0.287805003
DUF327	210	1.65E-05	1	0.533557125	0.287805003
SpoIIP	211	1.66E-05	1	0.531028418	0.286594642
DUF2203	212	1.67E-05	1	0.528523567	0.28538296
